table_name,table_width
Cabinets,780
Equipment_Status, 740
Equipment_Category, 740
Repair_Request, 1300
Equipment, 4000
Administrators, 1300
Users, 1300
Cabinets, 780
Cabinets, 780
Equipment_Status, 740
Equipment_Category, 740
Repair_Request, 1300
Equipment, 4000
Administrators, 1300
Users, 1300
Cabinets, 780
Equipment_Status, 740
Equipment_Category, 740
Repair_Request, 1300
Equipment, 4000
Administrators, 1300
Users, 1300
Cabinets, 780
Equipment_Status, 740
Equipment_Category, 740
Repair_Request, 1300
Equipment, 4000
Administrators, 1300
Users, 1300
Cabinets, 780
Equipment_Status, 740
Equipment_Category, 740
Repair_Request, 1300
Equipment, 4000
Administrators, 1300
Users, 1300
